fecha,ticker,tipo,shares,precio,valor,comision
2021-06-30,MOS,AJUSTE_COMPRA,109,28.839504,3143.5059,23.0
2021-06-30,IVZ,AJUSTE_COMPRA,84,21.987223,1846.9268,23.0
2021-06-30,FANG,AJUSTE_VENTA,44,76.827484,3380.4092,23.0
2021-06-30,GAP,AJUSTE_COMPRA,12,27.975437,335.70526,23.0
2021-06-30,DVN,AJUSTE_VENTA,90,23.070993,2076.3894,23.0
2021-06-30,AMAT,AJUSTE_VENTA,2,136.86636,273.73273,23.0
2021-06-30,MRO-202411,AJUSTE_VENTA,184,12.914702,2376.3052,23.0
2021-06-30,TPR,AJUSTE_COMPRA,31,38.40541,1190.5677,23.0
2021-06-30,CZR,AJUSTE_COMPRA,11,103.75,1141.25,23.0
2021-06-30,BBWI,AJUSTE_VENTA,6,52.718727,316.31238,23.0
2021-06-30,AAL,COMPRA,1095,21.21,23224.95,53.41738510131836
2021-06-30,F,COMPRA,2061,11.275045,23237.87,53.44710159301758
2021-06-30,HWM,COMPRA,683,34.004776,23225.262,53.4181022644043
2021-06-30,DXC,COMPRA,596,38.94,23208.238,53.37894821166992
2021-06-30,FITB,COMPRA,721,32.216816,23228.324,53.425148010253906
2021-06-30,NUE,COMPRA,259,89.581535,23201.617,53.36371994018555
2021-07-30,AAL,VENTA,1095,20.84,22819.8,52.48554229736328
2021-07-30,FITB,VENTA,721,30.801062,22207.566,51.0774040222168
2021-07-30,HWM,VENTA,683,32.357315,22100.047,50.830108642578125
2021-07-30,GNRC,AJUSTE_VENTA,3,419.36,1258.08,23.0
2021-07-30,COF,AJUSTE_VENTA,12,148.70212,1784.4254,23.0
2021-07-30,F,AJUSTE_COMPRA,51,10.584581,539.81366,23.0
2021-07-30,FCX,AJUSTE_VENTA,43,35.724125,1536.1373,23.0
2021-07-30,DXC,AJUSTE_VENTA,36,39.98,1439.28,23.0
2021-07-30,NUE,AJUSTE_VENTA,28,97.136154,2719.8123,23.0
2021-07-30,MOS,AJUSTE_VENTA,14,28.224937,395.1491,23.0
2021-07-30,IVZ,AJUSTE_COMPRA,56,20.05419,1123.0347,23.0
2021-07-30,FANG,AJUSTE_COMPRA,50,63.11326,3155.6628,23.0
2021-07-30,GAP,AJUSTE_COMPRA,86,24.338364,2093.0994,23.0
2021-07-30,DVN,AJUSTE_COMPRA,83,20.423243,1695.1292,23.0
2021-07-30,AMAT,AJUSTE_VENTA,4,134.49236,537.9694,23.0
2021-07-30,MRO-202411,AJUSTE_COMPRA,228,10.989824,2505.68,23.0
2021-07-30,TPR,AJUSTE_VENTA,7,37.36313,261.5419,23.0
2021-07-30,CZR,AJUSTE_COMPRA,31,87.36,2708.16,23.0
2021-07-30,BBWI,AJUSTE_VENTA,60,58.578804,3514.7283,23.0
2021-07-30,OXY,COMPRA,906,24.610962,22297.531,51.284324645996094
2021-07-30,SPG,COMPRA,225,99.13958,22306.406,51.30473709106445
2021-07-30,NVDA,COMPRA,1122,19.455488,21829.059,50.20683670043945
2021-08-31,F,VENTA,2112,9.878943,20864.328,47.98795700073242
2021-08-31,SPG,VENTA,225,104.28776,23464.746,53.96891784667969
2021-08-31,SIVBQ-202411,VENTA,41,562.4,23058.4,53.03432083129883
2021-08-31,DXC,VENTA,560,36.2,20272.0,46.62560272216797
2021-08-31,NVDA,VENTA,1122,22.648348,25411.447,58.44633102416992
2021-08-31,MOS,VENTA,793,29.201017,23156.406,53.259735107421875
2021-08-31,FANG,VENTA,354,62.458385,22110.268,50.853614807128906
2021-08-31,IVZ,VENTA,1114,20.792364,23162.693,53.27419662475586
2021-08-31,OXY,VENTA,906,24.05462,21793.486,50.12501907348633
2021-08-31,CZR,VENTA,255,102.48,26132.4,60.104522705078125
2021-08-31,GNRC,AJUSTE_VENTA,1,436.98,436.98,23.0
2021-08-31,COF,AJUSTE_VENTA,2,153.75955,307.5191,23.0
2021-08-31,FCX,AJUSTE_COMPRA,42,34.12076,1433.072,23.0
2021-08-31,NUE,AJUSTE_VENTA,22,109.780106,2415.1624,23.0
2021-08-31,GAP,AJUSTE_COMPRA,106,22.302517,2364.067,23.0
2021-08-31,DVN,AJUSTE_VENTA,114,23.355526,2662.53,23.0
2021-08-31,AMAT,AJUSTE_COMPRA,8,130.11647,1040.9318,23.0
2021-08-31,MRO-202411,AJUSTE_COMPRA,9,11.18948,100.70532,23.0
2021-08-31,TPR,AJUSTE_COMPRA,42,35.614216,1495.7971,23.0
2021-08-31,BBWI,AJUSTE_VENTA,8,61.239735,489.91788,23.0
2021-08-31,DFS-202505,COMPRA,192,118.63154,22777.256,52.387691497802734
2021-08-31,MHK,COMPRA,115,197.76,22742.398,52.307518005371094
2021-08-31,CBRE,COMPRA,236,96.3,22726.8,52.271644592285156
2021-08-31,IPG-202511,COMPRA,719,31.710888,22800.129,52.4402961730957
2021-08-31,CRL,COMPRA,51,443.86,22636.86,52.06477737426758
2021-08-31,FTNT,COMPRA,362,63.028004,22816.137,52.477115631103516
2021-08-31,HCA,COMPRA,93,243.43773,22639.709,52.07133102416992
2021-08-31,TXT,COMPRA,315,72.325836,22782.639,52.40007019042969
2021-08-31,MRNA,COMPRA,60,376.69,22601.4,51.98322296142578
2021-08-31,IT,COMPRA,73,308.74,22538.02,51.83744430541992
2021-09-30,MHK,VENTA,115,183.79,21135.85,48.61245346069336
2021-09-30,CBRE,VENTA,236,99.16,23401.762,53.82405471801758
2021-09-30,FCX,VENTA,669,30.510843,20411.754,46.94703674316406
2021-09-30,GAP,VENTA,1024,20.199923,20684.72,47.574859619140625
